"NUTS 3","Urban Code","City","City code","GDP","Employment","Population   (1-5)","Population            (XXL - S-M)","Sights & landmarks","Museums","Cinema seats","Concerts & shows","Theatres","Tourist overnight stays ","Museum visitors","Cinema attendance","Satisfaction with cultural facilities","Jobs in arts, culture & entertainment   ","Jobs in media & communication","Jobs in other creative sectors","ICT patent applications","Community design applications","Jobs in new arts, culture & entertainment enterprises","Jobs in new media & communication enterprises ","Jobs in new enterprises in other creative sectors","Graduates in arts and humanities","Graduates in ICT ","Average appearances in university rankings ","Foreign graduates","Foreign-born population","Tolerance of foreigners","Integration of foreigners","People trust","Passenger flights ","Potential road accessibility","Direct trains to other cities "," Quality of governance","Capital","Reason chosen","Cultural Vibrancy","Creative economy","Enabling environment","Overall","D1.1 Cultural Venues & Facilities","D1.2 Cultural Participation & Attractiveness","D2.1 Creative & Knowledge-based Jobs","D2.2 Intellectual Property & Innovation","D2.3 New Jobs in Creative Sectors","D3.1 Human Capital & Education","D3.2 Openness, Tolerance & Trust ","D3.3 Local & International Connections","D3.4 Quality of Governance"
"AT130","AT001C1","Vienna","1","1","3","1","XXL","17.9","18.1","38.1","46.7","22.8","27.9","3.7","37.4","100.0","27.7","29.2","27.0","20.1","26.5","29.7","29.4","37.9","20.3","7.1","83.3","99.0","55.5","35.2","6.7","43.8","23.2","87.9","3.6","70.3","Yes","At least two international cultural festivals","37.86","28.78","43.22","35.3","31.40","44.31","27.97","23.31","32.34","36.91","48.02","38.23","70.29"
"AT221","AT002C1","Graz","2","2","2","3","L","20.2","14.7","41.5","23.4","12.3","12.5","14.4","31.6","77.1","63.5","22.9","0.0","62.7","28.1","18.8","16.4","30.0","25.5","4.0","47.9","100.0","37.5","40.7","10.0","81.2","1.9","81.3","4.3","79.6","No","European Capital of Culture","30.32","29.3","40.23","31.89","23.66","36.99","28.82","45.41","21.73","25.81","53.89","29.13","79.57"
"AT312","AT003C1","Linz","3","1","1","4","S-M","8.5","18.3","100.0","15.4","88.3","14.2","39.5","89.8","42.9","61.6","56.4","72.6","20.1","58.2","15.7","15.0","19.1","17.4","29.5","4.2","100.0","41.0","38.0","8.3","71.6","2.6","84.4","33.2","82.3","No","European Capital of Culture","52.74","39.87","37.64","44.57","54.26","51.21","63.50","39.16","16.60","17.01","51.77","40.05","82.33"
"BE100","BE001C1","Brussels","4","1","4","1","XXL","17.3","23.0","17.9","12.6","71.4","19.6","21.8","21.1","24.3","44.7","30.1","36.8","14.1","22.8","49.9","95.7","82.9","0.0","1.1","45.8","5.3","78.4","20.4","20.0","21.9","32.7","95.8","20.7","64.2","Yes","European Capital of Culture","26.27","49.03","28.6","35.84","30.54","22.00","37.16","18.49","76.17","15.63","29.20","49.73","64.23"
"BE211","BE002C1","Antwerp","5","1","3","2","XL","9.5","16.5","39.7","10.7","23.7","11.2","20.5","46.3","48.6","28.2","12.6","39.1","28.0","27.7","28.8","17.0","25.9","11.9","7.3","31.2","17.1","49.8","18.5","13.3","46.9","70.1","95.8","23.5","89.8","No","European Capital of Culture","28.18","25.78","32.34","28.05","21.80","34.56","26.63","27.83","23.90","16.82","29.14","63.12","89.83"
"BE234","BE003C1","Ghent","6","2","1","3","L","33.7","28.2","29.5","62.9","100.0","12.5","24.5","43.3","49.3","30.6","15.3","39.6","33.4","23.9","4.3","4.7","2.6","40.1","36.8","37.5","3.9","34.3","14.8","15.6","26.0","32.4","93.6","47.6","89.8","No","UNESCO Creative City","45.55","18.68","35.99","32.89","55.85","35.24","28.51","28.66","3.87","38.12","18.92","57.89","89.83"
"BE242","BE008C1","Leuven","7","2","4","5","S-M","27.4","3.2","30.4","13.2","41.2","15.0","8.3","45.5","18.6","36.6","31.3","52.8","96.5","22.8","29.9","29.8","31.1","84.8","100.0","37.5","7.5","38.2","14.8","15.6","30.9","31.3","94.5","90.7","89.8","No","At least two international cultural festivals","23.93","40.13","53.52","36.33","25.03","22.83","40.25","59.64","30.25","74.10","21.40","72.17","89.83"
"BE251","BE006C1","Bruges","8","2","2","4","S-M","50.4","83.0","24.7","19.4","48.3","61.7","50.9","42.8","46.6","28.7","6.4","28.8","4.4","23.7","9.5","7.0","15.1","0.0","2.2","0.0","2.4","14.1","14.8","15.6","30.6","27.7","90.8","58.7","89.8","No","European Capital of Culture","44.33","15.54","19.84","27.92","39.76","48.90","21.29","14.04","10.53","0.73","15.49","59.08","89.83"
"BE255","BE011C1","Ostend","9","3","5","5","S-M","14.4","28.2","64.5","9.5","0.0","47.9","4.8","36.9","72.9","24.4","0.5","22.4","11.6","4.8","25.1","11.9","14.0","45.7","38.8","0.0","15.6","23.3","14.8","15.6","55.6","27.7","89.7","36.0","89.8","No","At least two international cultural festivals","31.7","14.74","33.41","25.26","23.81","39.59","15.77","8.22","16.98","28.16","24.98","51.11","89.83"
"BE323","BE009C1","Mons","10","4","5","5","S-M","20.1","46.7","73.3","6.3","34.1","2.9","2.1","91.4","49.1","24.3","12.2","22.1","9.2","9.2","21.5","24.9","34.1","8.9","21.9","0.0","43.5","34.5","14.8","15.6","24.0","28.2","93.1","43.0","63.3","No","European Capital of Culture","38.96","20.39","26.08","28.96","36.77","41.15","19.54","9.18","26.83","10.28","26.47","54.74","63.29"
"BE332","BE005C1","Liège","11","4","5","3","L","9.5","12.5","32.6","24.5","27.6","2.5","4.8","38.1","15.7","21.0","7.1","20.4","8.3","18.6","29.7","38.0","31.3","59.5","17.5","25.0","2.0","44.2","5.6","13.3","9.4","57.5","95.1","17.6","63.3","No","At least two international cultural festivals","20.52","22.37","31.23","23.4","23.93","17.11","16.19","13.45","33.00","34.01","14.89","56.73","63.29"
"BE352","BE007C1","Namur","12","3","5","4","S-M","10.2","16.7","68.1","20.7","29.2","2.9","2.2","84.9","38.1","32.5","12.5","24.7","6.1","13.4","23.7","6.3","12.4","10.4","25.9","0.0","13.7","26.7","14.8","15.6","30.6","29.9","93.7","60.0","63.3","No","At least two international cultural festivals","34.51","16.88","25.3","25.62","32.85","36.17","23.21","9.73","14.11","12.10","20.28","61.20","63.29"
"BG321","BG017C1","Veliko Turnovo","13","5","5","5","S-M","22.3","42.8","3.1","9.8","39.6","6.7","42.6","2.6","43.3","20.4","7.4","10.2","0.8","9.9","17.4","2.7","4.9","50.0","16.4","0.0","3.4","2.7","20.4","3.3","45.8","0.0","60.3","4.1","27.7","No","European Capital of Culture","23.76","9.46","19.52","17.19","21.27","26.26","12.66","5.37","8.32","22.17","15.12","21.47","27.68"
"BG331","BG003C1","Varna","14","5","4","3","L","5.8","13.8","14.3","7.5","7.3","53.3","2.1","5.1","58.6","23.0","5.5","17.1","0.1","12.5","34.9","26.9","14.6","0.9","17.9","0.0","4.6","4.2","20.4","3.3","18.8","2.3","58.0","2.5","57.1","No","European Capital of Culture","18.06","17.52","12.6","16.75","9.72","26.41","15.20","6.29","25.44","6.25","10.27","20.94","57.06"
"BG411","BG001C1","Sofia","15","3","2","1","XXL","5.0","2.2","20.7","5.0","15.3","2.1","3.3","11.2","4.3","34.3","51.8","40.0","1.3","20.4","44.8","60.5","31.0","11.4","21.1","0.0","7.6","4.4","20.4","3.3","12.5","3.2","67.1","1.9","0.0","Yes","European Capital of Culture","8.41","37.18","11.81","20.6","11.15","5.68","42.04","10.84","45.48","10.85","9.64","24.07","0.00"
"BG421","BG002C1","Plovdiv","16","5","4","3","L","8.8","11.6","7.9","4.8","9.5","2.1","1.9","4.6","43.3","18.8","4.3","13.3","0.1","27.0","19.0","8.1","9.3","11.7","40.4","0.0","5.6","3.4","20.4","3.3","18.8","3.3","61.7","2.8","38.0","No","European Capital of Culture","11.33","12.41","16.36","12.77","8.11","14.54","12.11","13.53","12.15","17.39","10.29","22.57","38.03"
"CH013","CH002C1","Geneva","17","1","5","4","S-M","22.7","44.8","51.3","42.7","76.4","42.1","48.1","65.0","40.0","80.2","33.5","73.3","20.5","21.7","34.9","22.4","35.2","19.0","4.2","33.3","27.8","100.0","46.3","26.7","28.1","27.9","95.3","26.5","74.7","No","At least two international cultural festivals","50.39","41.47","37.07","44.16","51.03","49.76","62.30","21.06","30.85","18.84","45.78","49.88","74.70"
"CH021","CH004C1","Bern","18","1","1","4","S-M","28.9","31.2","100.0","10.7","88.3","20.8","39.5","89.3","61.0","100.0","76.8","89.9","19.9","3.7","26.3","19.2","22.6","35.3","26.1","29.2","17.5","51.4","50.9","23.3","68.1","39.1","83.6","39.6","87.4","Yes","At least two international cultural festivals","57.25","47.02","41.47","50","57.28","57.22","88.92","11.80","22.72","30.21","42.26","54.13","87.35"
"CH031","CH003C1","Basel","19","1","3","4","S-M","42.4","61.3","51.6","59.7","77.7","26.2","63.0","37.5","36.7","85.2","31.4","87.2","32.6","45.2","22.4","26.9","21.7","15.2","5.4","31.2","31.6","73.1","50.9","23.3","68.1","32.6","92.8","36.2","84.4","No","At least two international cultural festivals","51.57","44.41","38.99","46.19","60.21","42.92","67.92","38.93","23.63","17.30","49.41","53.87","84.43"
"CH040","CH001C1","Zurich","20","1","1","3","L","16.9","40.5","46.0","28.9","46.5","29.2","21.8","46.9","80.0","92.5","100.0","100.0","58.8","33.5","27.8","47.8","50.0","26.3","31.7","64.6","26.4","71.0","55.6","20.0","59.4","37.5","82.1","34.1","73.3","No","At least two international cultural festivals","42.09","64.98","46.29","52.09","37.51","46.67","97.49","46.14","41.88","40.88","46.47","51.22","73.31"
